findingCode,assetCode,vulnerabilityCode,assignedToCode,createdByCode,status,detectedAt,closedAt,closureNote
FND-255,AST-005,VULN-116,USR-002,USR-005,FALSE_POSITIVE,2026-09-09,2026-09-10,Endpoint protection definitions were confirmed to be current; the scanner cache contained stale information.
FND-256,AST-006,VULN-115,USR-003,USR-006,FALSE_POSITIVE,2026-09-09,2026-09-10,Endpoint protection is active and healthy; the monitoring agent briefly reported an incorrect status.
FND-257,AST-007,VULN-114,USR-004,USR-007,FALSE_POSITIVE,2026-09-08,2026-09-09,System time was verified against the approved NTP source and no synchronization issue exists.
FND-258,AST-008,VULN-113,USR-005,USR-008,FALSE_POSITIVE,2026-09-08,2026-09-09,Log retention meets the current security policy; the scanner used an outdated retention threshold.
FND-259,AST-009,VULN-112,USR-006,USR-009,FALSE_POSITIVE,2026-09-08,2026-09-09,Security alerts are actively routed to the SOC; the scanner could not verify the external notification workflow.
FND-260,AST-010,VULN-111,USR-007,USR-001,FALSE_POSITIVE,2026-09-08,2026-09-09,The server is forwarding all required log sources to the SIEM platform.
FND-261,AST-011,VULN-110,USR-008,USR-002,FALSE_POSITIVE,2026-09-07,2026-09-08,The asset is included in the vulnerability scanner scope; an outdated asset identifier caused the detection.
FND-262,AST-012,VULN-109,USR-009,USR-003,FALSE_POSITIVE,2026-09-07,2026-09-08,No scanner credentials are stored on this DNS server; the detected secret belonged to a test record.
FND-263,AST-013,VULN-108,USR-002,USR-004,FALSE_POSITIVE,2026-09-07,2026-09-08,The system dependency update process was verified and complies with the current maintenance schedule.
FND-264,AST-014,VULN-107,USR-003,USR-005,FALSE_POSITIVE,2026-09-07,2026-09-08,The finding relates to repository configuration and does not apply to this build server asset.
FND-265,AST-015,VULN-106,USR-004,USR-006,FALSE_POSITIVE,2026-09-06,2026-09-07,Repository secret scanning confirmed that no production credential is exposed by this asset.
FND-266,AST-016,VULN-105,USR-005,USR-007,FALSE_POSITIVE,2026-09-06,2026-09-07,"The development server has no production deployment privileges, so the reported condition does not apply."
FND-267,AST-017,VULN-104,USR-006,USR-008,FALSE_POSITIVE,2026-09-06,2026-09-07,Deployment artifacts were verified as correctly signed; scanner signature metadata was incomplete.
FND-268,AST-018,VULN-103,USR-007,USR-009,FALSE_POSITIVE,2026-09-06,2026-09-07,The QA server is not configured as a CI runner and therefore cannot possess the reported runner privileges.
FND-269,AST-019,VULN-102,USR-008,USR-001,FALSE_POSITIVE,2026-09-05,2026-09-06,No untrusted code execution path exists on the staging server; the scanner incorrectly classified a test process.
FND-270,AST-020,VULN-101,USR-009,USR-002,FALSE_POSITIVE,2026-09-05,2026-09-06,No CI credentials are stored or exposed on this staging API server.
FND-271,AST-021,VULN-100,USR-002,USR-003,FALSE_POSITIVE,2026-09-05,2026-09-06,The application server is not a container host and the reported container network policy does not apply.
FND-272,AST-022,VULN-099,USR-003,USR-004,FALSE_POSITIVE,2026-09-05,2026-09-06,The finance server does not host Kubernetes workloads; the detection resulted from an incorrect asset classification.
FND-273,AST-023,VULN-098,USR-004,USR-005,FALSE_POSITIVE,2026-09-04,2026-09-05,"No Kubernetes RBAC configuration exists on the ERP server, confirming the finding as not applicable."
FND-274,AST-024,VULN-097,USR-005,USR-006,FALSE_POSITIVE,2026-09-04,2026-09-05,The print server does not expose or operate a Kubernetes dashboard.
FND-275,AST-025,VULN-096,USR-006,USR-007,FALSE_POSITIVE,2026-09-04,2026-09-05,The retired web server has no connection to the container registry identified by the scanner.
FND-276,AST-026,VULN-095,USR-007,USR-008,FALSE_POSITIVE,2026-09-04,2026-09-05,Manual image inspection confirmed that no application secret is embedded in the deployed container layers.
FND-277,AST-027,VULN-094,USR-008,USR-009,FALSE_POSITIVE,2026-09-03,2026-09-04,The automation server does not deploy container images and the reported control is not applicable.
FND-278,AST-028,VULN-093,USR-009,USR-001,FALSE_POSITIVE,2026-09-03,2026-09-04,The reporting server is not containerized; the detected base image reference originated from documentation.
FND-279,AST-029,VULN-092,USR-002,USR-003,FALSE_POSITIVE,2026-09-03,2026-09-04,The training server does not execute privileged containers; the scanner matched a laboratory configuration file.
FND-280,AST-030,VULN-091,USR-003,USR-004,FALSE_POSITIVE,2026-09-03,2026-09-04,All security lab containers were verified to run as non-root users.
FND-281,AST-031,VULN-090,USR-004,USR-005,FALSE_POSITIVE,2026-09-02,2026-09-03,The workstation application does not use persistent authentication tokens after logout.
FND-282,AST-032,VULN-089,USR-005,USR-006,FALSE_POSITIVE,2026-09-02,2026-09-03,Network inspection confirmed that authentication tokens are never transmitted in URLs.
FND-283,AST-033,VULN-088,USR-006,USR-007,FALSE_POSITIVE,2026-09-02,2026-09-03,The measured token lifetime complies with the organization's approved session policy.
FND-284,AST-034,VULN-087,USR-007,USR-008,FALSE_POSITIVE,2026-09-01,2026-09-02,"JWT signatures, expiration and accepted algorithms were manually verified as correctly validated."
FND-285,AST-035,VULN-086,USR-008,USR-009,FALSE_POSITIVE,2026-09-01,2026-09-02,The workstation does not host the legacy API endpoint detected by the automated scan.
FND-286,AST-036,VULN-085,USR-009,USR-001,FALSE_POSITIVE,2026-09-01,2026-09-02,The reported API is not hosted on this workstation and the finding was caused by incorrect service attribution.
FND-287,AST-037,VULN-084,USR-002,USR-003,FALSE_POSITIVE,2026-08-31,2026-09-01,Manual response inspection confirmed that no sensitive API fields are exposed from this asset.
FND-288,AST-038,VULN-083,USR-003,USR-004,FALSE_POSITIVE,2026-08-31,2026-09-01,Rate limiting is already enforced upstream by the corporate API gateway.
FND-289,AST-039,VULN-082,USR-004,USR-005,FALSE_POSITIVE,2026-08-30,2026-08-31,Authorization tests confirmed that access restrictions operate correctly for the affected application workflow.
FND-290,AST-040,VULN-081,USR-005,USR-006,FALSE_POSITIVE,2026-08-30,2026-08-31,The endpoint requires valid authentication; the scanner test used an existing authenticated session.
FND-291,AST-041,VULN-080,USR-006,USR-007,FALSE_POSITIVE,2026-08-29,2026-08-30,The finance workstation was incorrectly associated with an inactive cloud resource by asset discovery.
FND-292,AST-042,VULN-079,USR-007,USR-008,FALSE_POSITIVE,2026-08-27,2026-08-28,The affected data is stored locally with approved disk encryption and is not an unencrypted cloud resource.
FND-293,AST-043,VULN-078,USR-008,USR-009,FALSE_POSITIVE,2026-08-24,2026-08-25,The workstation does not manage cloud audit trails; the finding was linked to the wrong asset.
FND-294,AST-044,VULN-077,USR-009,USR-001,FALSE_POSITIVE,2026-08-21,2026-08-22,No cloud instance metadata or stored secret exists on this finance workstation.
FND-295,AST-045,VULN-076,USR-002,USR-003,FALSE_POSITIVE,2026-08-18,2026-08-19,The workstation does not use the cloud access key identified by the scanner.
FND-296,AST-046,VULN-075,USR-003,USR-004,FALSE_POSITIVE,2026-08-15,2026-08-16,The HR workstation has no cloud identity assignments and the reported permission set is not applicable.
FND-297,AST-047,VULN-074,USR-004,USR-005,FALSE_POSITIVE,2026-08-12,2026-08-13,The detected cloud administrator account does not belong to this workstation or its assigned user.
FND-298,AST-048,VULN-073,USR-005,USR-006,FALSE_POSITIVE,2026-08-09,2026-08-10,The workstation does not host or expose a cloud database; asset correlation produced an incorrect match.
FND-299,AST-049,VULN-072,USR-006,USR-007,FALSE_POSITIVE,2026-08-06,2026-08-07,No cloud security group is associated with this endpoint; the scanner linked the rule to the wrong resource.
FND-300,AST-050,VULN-071,USR-007,USR-008,FALSE_POSITIVE,2026-08-03,2026-08-04,The security workstation does not own the public cloud storage bucket reported by the discovery engine.
